<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	13:25:00	2328.46	2328.55	2327.85	2328.24	293	0	4
2024.06.03	13:30:00	2328.24	2328.51	2327.63	2328.02	319	0	4
2024.06.03	13:35:00	2328.03	2328.97	2327.51	2328.62	296	0	4
2024.06.03	13:40:00	2328.62	2333.29	2328.52	2330.52	887	0	4
2024.06.03	13:45:00	2330.42	2331.69	2330.02	2331.38	259	0	4
2024.06.03	13:50:00	2331.29	2331.97	2330.50	2331.57	395	0	4
2024.06.03	13:55:00	2331.57	2331.67	2330.57	2330.83	353	0	4
2024.06.03	14:00:00	2330.79	2331.94	2330.74	2331.00	606	0	4
2024.06.03	14:05:00	2331.02	2331.69	2330.79	2331.69	393	0	4
2024.06.03	14:10:00	2331.65	2331.89	2331.10	2331.22	334	0	4
2024.06.03	14:15:00	2331.05	2331.46	2330.95	2331.12	316	0	4
2024.06.03	14:20:00	2331.15	2332.42	2331.13	2331.88	430	0	4
2024.06.03	14:25:00	2331.89	2331.99	2330.88	2331.39	447	0	4
2024.06.03	14:30:00	2331.39	2331.81	2330.96	2331.14	315	0	4
2024.06.03	14:35:00	2331.04	2331.16	2329.74	2329.80	484	0	4
2024.06.03	14:40:00	2329.81	2330.25	2329.02	2329.87	438	0	4
2024.06.03	14:45:00	2329.97	2330.17	2329.45	2329.76	272	0	4
2024.06.03	14:50:00	2329.77	2330.67	2329.29	2329.60	433	0	4
2024.06.03	14:55:00	2329.60	2330.85	2329.31	2329.98	465	0	4
2024.06.03	15:00:00	2329.98	2329.98	2327.71	2327.84	765	0	4
2024.06.03	15:05:00	2327.86	2328.26	2326.67	2326.96	555	0	4
2024.06.03	15:10:00	2326.97	2327.28	2325.72	2326.15	606	0	4
2024.06.03	15:15:00	2326.15	2326.76	2325.84	2326.01	669	0	4
2024.06.03	15:20:00	2326.00	2330.16	2325.82	2330.00	804	0	4
2024.06.03	15:25:00	2330.19	2332.42	2329.82	2331.85	903	0	4
2024.06.03	15:30:00	2331.97	2333.55	2331.50	2332.41	841	0	4
2024.06.03	15:35:00	2332.28	2333.59	2332.00	2333.48	677	0	4
2024.06.03	15:40:00	2333.48	2334.01	2332.57	2333.09	640	0	4
2024.06.03	15:45:00	2333.09	2333.98	2331.96	2333.78	595	0	4
2024.06.03	15:50:00	2333.89	2334.34	2333.15	2333.75	559	0	4
2024.06.03	15:55:00	2333.74	2334.41	2333.39	2334.08	426	0	4
